epoch,cosine_similarity,loss,val_cosine_similarity,val_loss
0,0.8978003859519958,84.12196350097656,0.9117922186851501,69.6760025024414
1,0.9047033786773682,72.17648315429688,0.9117922186851501,65.45236206054688
2,0.9059904217720032,64.96813201904297,0.9117922186851501,68.4642105102539
3,0.9061074256896973,57.340450286865234,0.9117922186851501,55.23881530761719
4,0.9049373865127563,54.05567932128906,0.9117922186851501,62.25008010864258
5,0.9048203825950623,50.91392517089844,0.9117922186851501,50.00572967529297
6,0.9056394100189209,49.499027252197266,0.9117922186851501,47.53689193725586
7,0.9031823873519897,46.7955436706543,0.9117922186851501,66.14200592041016
8,0.9042354226112366,46.41636276245117,0.8972859382629395,49.438602447509766
9,0.9025974273681641,44.23773956298828,0.9117922186851501,47.00292205810547
10,0.8986194133758545,42.877235412597656,0.9117922186851501,50.27812194824219
11,0.9004914164543152,43.19814682006836,0.904305100440979,53.634185791015625
12,0.8975663781166077,41.67741394042969,0.8832475543022156,47.823055267333984
13,0.8968644142150879,41.103729248046875,0.9117922186851501,50.78401565551758
14,0.898034393787384,40.072940826416016,0.9117922186851501,51.196693420410156
15,0.8966304063796997,40.2888069152832,0.9117922186851501,56.500125885009766
16,0.8941733837127686,38.817386627197266,0.9117922186851501,49.22700500488281
17,0.8961623907089233,38.9189453125,0.9117922186851501,47.03791809082031
